h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	0.47655016856243304	1.3973283774604035e-28	0.47655016855899496	0.47655016855206983	0.4765501685451441	0.47655016853821186	0.476550168531287	0.4765501685243614	0.47655016851743315	0.47655016851049925	1.5914394272852384e-28	1.278369376016011e-28	1.1301526367677776e-28	1.068226464890091e-28	1.068226464890091e-28	1.1301526367677776e-28	1.278369376016011e-28	1.591439427285238e-28
3.552713678800501e-15	0.4765501685624222	2.632599696405201e-28	0.47655016855554316	0.4765501685417013	0.4765501685278523	0.47655016851399995	0.4765501685001471	0.4765501684862957	0.47655016847243736	0.4765501684586013	2.99830950311972e-28	2.4084781254568243e-28	2.1292342848241483e-28	2.0125639130529622e-28	2.0125639130529622e-28	2.129234284824149e-28	2.4084781254568243e-28	2.998309503119719e-28
7.105427357601002e-15	0.476550168562419	2.2452287056568785e-28	0.47655016854867516	0.4765501685209781	0.4765501684932736	0.47655016846557297	0.4765501684378753	0.4765501684101681	0.47655016838246644	0.47655016835476266	2.5571265445485545e-28	2.05408525709638e-28	1.8159304446794088e-28	1.7164274066147838e-28	1.7164274066147838e-28	1.815930444679409e-28	2.0540852570963806e-28	2.5571265445485554e-28
1.4210854715202004e-14	0.4765501685624159	5.186402879700139e-28	0.47655016853492965	0.4765501684795354	0.4765501684241342	0.47655016836872605	0.4765501683133248	0.47655016825792457	0.47655016820250756	0.4765501681471276	5.9068764090668435e-28	4.744867935152051e-28	4.194738319482248e-28	3.964889644442124e-28	3.964889644442124e-28	4.194738319482247e-28	4.74486793515205e-28	5.906876409066838e-28
2.842170943040401e-14	0.4765501685624218	1.0700103992267616e-28	0.4765501685074633	0.4765501683966444	0.47655016828583946	0.4765501681750265	0.4765501680642349	0.476550167953387	0.4765501678426102	0.4765501677317722	1.2419977629368658e-28	1.0726927365943455e-28	1.1286958899506284e-28	1.2131852858615806e-28	1.336709506773773e-28	1.6050828048328657e-28	1.2905078518980134e-28	1.2676883842115466e-27
5.684341886080802e-14	0.4765501685624287	5.438925454141101e-28	0.47655016845249976	0.4765501682308949	0.4765501680092779	0.476550167787629	0.47655016756607177	0.47655016734437133	0.47655016712283166	0.4765501669011074	6.313147285021892e-28	5.452559931895418e-28	5.7372272365513135e-28	6.166691778538154e-28	6.7945726195166845e-28	8.158729793204167e-28	6.559726905018212e-28	6.443734215844742e-27
1.1368683772161603e-13	0.4765501685624084	1.0748402361269503e-27	0.47655016834254865	0.47655016789935073	0.47655016745613665	0.4765501670128478	0.47655016656972304	0.4765501661263647	0.47655016568323605	0.47655016523987237	1.2476039202505893e-27	1.0775346810890078e-27	1.1337906227329595e-27	1.2186613887710972e-27	1.3427431760776541e-27	1.6123278635390578e-27	1.2963329751375495e-27	1.2734105044268438e-26
2.2737367544323206e-13	0.4765501685624146	3.643495971356728e-27	0.47655016812270895	0.47655016723627325	0.4765501663498795	0.47655016546324724	0.47655016457699406	0.47655016369028413	0.4765501628040515	0.4765501619172238	4.2291307158927325e-27	3.6526296072537925e-27	3.843326131123418e-27	4.13102125431696e-27	4.5516339900284876e-27	5.465472800384572e-27	4.394312581253875e-27	4.3166099358924084e-26
4.547473508864641e-13	0.4765501685624136	1.2155115021826161e-26	0.47655016768301534	0.47655016591012406	0.4765501641373129	0.4765501623640811	0.4765501605915438	0.4765501588181307	0.47655015704565373	0.4765501552721316	1.4108858826286074e-26	1.2185585865150561e-26	1.2821771056549186e-26	1.3781554556003362e-26	1.5184766257734658e-26	1.8233435980059302e-26	1.4659924228517572e-26	1.4400699407276335e-25
9.094947017729282e-13	0.4765501685624135	4.331269095647388e-26	0.47655016680359163	0.4765501632578334	0.47655015971217773	0.4765501561657388	0.4765501526206407	0.47655014907390475	0.4765501455288164	0.4765501419817951	5.027452566217174e-26	4.342126863901527e-26	4.568820667593681e-26	4.910823240356954e-26	5.410833932764743e-26	6.497175684976066e-26	5.22381537661262e-26	5.131445007837718e-25
1.8189894035458565e-12	0.47655016856302485	8.227869090479167e-26	0.4765501650458793	0.47655015795298916	0.4765501508616898	0.4765501437687281	0.47655013667895113	0.4765501295855769	0.4765501224950193	0.4765501154027765	2.5160954634455523e-25	8.518130418124015e-26	5.1471461875167704e-26	5.997993790968794e-26	5.901721740954066e-26	8.047450331021199e-26	5.860804906015985e-26	9.317227730057992e-25
3.637978807091713e-12	0.476550168562283	8.972312810491545e-25	0.47655016152693275	0.47655014734401535	0.47655013316139444	0.47655011897568444	0.47655010479523685	0.47655009060813647	0.47655007642801334	0.47655006223953666	1.0414471155657148e-24	8.994804900234433e-25	9.464405766403233e-25	1.0172871113871189e-24	1.1208653523553711e-24	1.345903275529721e-24	1.0821240746811315e-24	1.0629893632428163e-23
7.275957614183426e-12	0.47655016856514054	3.421628342940404e-24	0.47655015449537436	0.4765501261232226	0.4765500977609666	0.47655006938800226	0.4765500410267683	0.4765500126564908	0.4765499842930716	0.47654995591789007	1.0770090643475392e-23	7.164915545394012e-24	1.5811463197511664e-23	2.5349206693081414e-24	4.572229517628925e-24	3.847891580694207e-24	2.434531275785219e-24	5.433787072486487e-23
1.4551915228366852e-11	0.4765501685671938	1.0447524639146509e-23	0.4765501404294226	0.47655008368702545	0.4765500269568348	0.4765499702132358	0.4765499134955435	0.47654985674875844	0.4765498000241006	0.47654974328805616	3.194869663059034e-23	1.0816090587268809e-23	6.535706392994925e-24	7.616089564320511e-24	7.493845930698059e-24	1.0218433799942008e-23	7.441890845308327e-24	1.1830762644359092e-22
