h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	5.44870176864774	6.2595420666382e-26	5.448701768647794	5.448701768647794	5.448701768647785	5.448701768647809	5.44870176864769	5.448701768647649	5.448701768647657	5.4487017686477195	1.0592082436525897e-24	8.189954280969012e-25	6.397207987478366e-25	2.395024265631512e-25	1.731892585692857e-25	2.896410572984065e-25	4.692840753222565e-25	2.2103330949063383e-24
3.552713678800501e-15	5.448701768649292	2.1693894733885253e-25	5.44870176864939	5.448701768649385	5.448701768649372	5.44870176864945	5.448701768649192	5.44870176864911	5.448701768649143	5.448701768649256	4.3052074278947455e-24	3.3889692111544634e-24	2.5827247926257965e-24	8.341788903593637e-25	6.158064239637761e-25	1.021848890916945e-24	1.8617554518721763e-24	9.587709011307913e-24
7.105427357601002e-15	5.448701768652337	8.584431743390751e-25	5.4487017686525006	5.448701768652515	5.448701768652484	5.448701768652752	5.448701768652165	5.4487017686519525	5.4487017686520485	5.44870176865227	1.8899916823361883e-23	1.3165004566027046e-23	1.0519127174729243e-23	2.678450385491794e-24	2.474222025376684e-24	3.745219821642741e-24	7.206947989244742e-24	3.804424269230631e-23
1.4210854715202004e-14	5.448701768658361	3.4431102590832934e-24	5.448701768658699	5.448701768658703	5.448701768658675	5.448701768659169	5.448701768657966	5.44870176865756	5.448701768657842	5.448701768658235	7.39908089373124e-23	5.443680163598451e-23	3.915673369423627e-23	1.0763026930880519e-23	1.0049171765087503e-23	1.5146326126998082e-23	3.2616857616012924e-23	1.7101527566579383e-22
2.842170943040401e-14	5.4487017686707215	1.3835339023962538e-23	5.448701768671371	5.44870176867139	5.448701768671338	5.448701768672381	5.448701768670016	5.448701768669197	5.448701768669573	5.448701768670458	3.104287279797278e-22	2.2613563593428007e-22	1.6212969460171773e-22	4.355150042242812e-23	4.0026152961268014e-23	6.144883731693207e-23	1.1820879851504499e-22	6.440736385550889e-22
5.684341886080802e-14	5.448701768695254	5.509453102154133e-23	5.448701768696547	5.448701768696585	5.448701768696482	5.448701768698596	5.448701768693847	5.448701768692207	5.44870176869296	5.448701768694726	1.2490464638716862e-21	9.08247085609795e-22	6.508239589989013e-22	1.7360052232704366e-22	1.596333369606502e-22	2.452290754853138e-22	4.7231120123613505e-22	2.5703264797882586e-21
1.1368683772161603e-13	5.448701768744309	2.1991086940186955e-22	5.448701768746887	5.44870176874696	5.44870176874678	5.448701768750998	5.4487017687415	5.448701768738221	5.4487017687397215	5.4487017687432555	5.004140294965086e-21	3.644339012707104e-21	2.590007497475877e-21	6.934106096987453e-22	6.3754438759714265e-22	9.803244677417406e-22	1.8857822057703604e-21	1.0297163114618814e-20
2.2737367544323206e-13	5.448701768842437	8.780950436688963e-22	5.44870176884758	5.448701768847726	5.44870176884737	5.448701768855832	5.448701768836816	5.448701768830264	5.4487017688332715	5.4487017688403325	2.0039521026771623e-20	1.4586181680921385e-20	1.0365496937743941e-20	2.769338780961294e-21	2.546621694495659e-21	3.91646406106545e-21	7.540668393056578e-21	4.122820787681052e-20
4.547473508864641e-13	5.448701769038712	3.5129560056038355e-21	5.448701769049001	5.448701769049285	5.448701769048585	5.448701769065513	5.448701769027487	5.448701769014387	5.448701769020364	5.448701769034489	8.018765072896738e-20	5.841251523553418e-20	4.1457522559674994e-20	1.1081463710053256e-20	1.0190369426296876e-20	1.5674644488934384e-20	3.0142080351585844e-20	1.6444401521235654e-19
9.094947017729282e-13	5.448701769431197	1.4028137185525702e-20	5.448701769451739	5.448701769452332	5.448701769450905	5.448701769484831	5.448701769408724	5.448701769382518	5.448701769394568	5.448701769422795	3.2084440334508515e-19	2.334384419378702e-19	1.6588057256045167e-19	4.424891391616331e-20	4.069512513646124e-20	6.25928612353601e-20	1.205969892785845e-19	6.599946412291995e-19
1.8189894035458565e-12	5.448701770216203	5.609700282966267e-20	5.448701770257274	5.448701770258463	5.448701770255611	5.448701770323481	5.448701770171267	5.448701770118845	5.4487017701429545	5.448701770199404	1.2834895760299168e-18	9.33772003066575e-19	6.635287840066681e-19	1.7695123917949839e-19	1.6274286693877485e-19	2.5031862312986914e-19	4.82341009895728e-19	2.6401466722921925e-18
3.637978807091713e-12	5.448701771786225	2.244159143077718e-19	5.448701771868354	5.448701771870733	5.4487017718650295	5.448701772000804	5.4487017716963475	5.448701771591515	5.448701771639737	5.448701771752629	5.135532279060038e-18	3.736106626906301e-18	2.654826018408692e-18	7.079022140933043e-19	6.510673497111479e-19	1.0014320964072402e-18	1.9297774206772967e-18	1.056369982425263e-17
